Ticker;Nome da Empresa;Setor;Subsetor;Nota dos Usuários;Segmento de Listagem;Tag Along;Free Float;Vol Histórica;Tickers Opções;LIQUIDEZ MEDIA DIARIA;P/L;lpa_pos_years;lpa_last_negative_year;lpa_trend;P/ATIVOS;P/VP;vpa_trend;MARGEM BRUTA;margembruta_pos_years;margembruta_last_negative_year;margembruta_trend;MARGEM EBIT;MARG. LIQUIDA;margemliquida_pos_years;margemliquida_last_negative_year;margemliquida_trend;EV/EBIT;LIQ. CORRENTE;liquidezcorrente_trend;DIVIDA LIQUIDA / EBIT;dividaliquida_ebit_trend;DIV. LIQ. / PATRI.;dividaliquida_patrimonioliquido_trend;PASSIVOS / ATIVOS;passivo_ativo_trend;P. AT CIR. LIQ.;Div Br/ Patrim;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq
KEPL3;Kepler;Máquinas e Equipamentos;Máq. e Equip. Industriais;4.0;Novo Mercado;100% ON;57,43% ON;36.389383896346;29.0;10822069.33;6.37;0.8571428571428571;2017.0;0.0605520497660567;1.22;2.47;-0.0008082667266047;32.03;1.0;;0.0256176215709367;22.32;17.47;0.7647058823529411;2017.0;0.0625622768413236;4.67;1.68;-0.0533564814814773;-0.33;0.0726590106007376;-0.16;0.1232987686325179;0.51;-0.0042932628797887;-3.71;0.31;209539000.0;320036000.0;-110497000.0;928480000.0;681618000.0
TUPY3;Tupy;Material de Transporte;Material Rodoviário;4.1;Novo Mercado;100% ON;36,86% ON;26.855914931546;21.0;13606738.13;9.03;0.8571428571428571;2020.0;0.0351004453475376;0.37;1.13;0.0006672888065208;17.23;1.0;;-0.0143823322600934;6.88;3.59;0.8823529411764706;2020.0;-0.3415767868641504;7.61;2.1;-0.001645983327018;2.88;0.0523403654172138;0.69;0.0566431322207909;0.67;0.0021998742928976;-0.95;1.04;3389840000.0;1142780000.0;2247060000.0;6124330000.0;3268350000.0
MYPK3;Iochpe-Maxion;Automóveis e Motocicletas;Automóveis e Motocicletas;3.0;Novo Mercado;100% ON;64,25% ON;32.83284461026;32.0;12725744.08;-17.92;0.7857142857142857;2024.0;-0.9745018624725036;0.12;0.48;0.0456891355992301;9.29;1.0;;-0.0575787615754577;4.96;-0.66;0.8125;2024.0;0.3692994697181613;7.3;1.58;0.0062449090415417;4.92;-0.2278621612579812;0.99;-0.0136923844126223;0.72;0.003658914728682;-0.26;1.79;6867440000.0;3054670000.0;3812760000.0;8048780000.0;3834280000.0
CASH3;Méliuz;Programas e Serviços;Programas e Serviços;1.4;Novo Mercado;100% ON;79,94% ON;50.418555885714;54.0;17011720.71;-16.83;0.2;2024.0;0.3267896978301676;0.54;0.84;0.2383388424201358;-22.15;0.25;2024.0;-0.0634781841962136;-22.16;-11.35;0.25;2024.0;-1.9603301994958693;-3.11;2.65;-0.1546323334218062;5.51;0.2002956551547086;-0.54;-0.169921875000004;0.34;0.1059233449477154;-2.57;0.0;990000.0;418877000.0;-417887000.0;946728000.0;780734000.0
JHSF3;JHSF;Construção Civil;Incorporações;3.3;Novo Mercado;100% ON;37,00% ON;39.089130183125;85.0;11176707.5;7.86;0.8666666666666667;2017.0;0.0450775291808089;0.29;0.62;0.0444290175218216;53.4;1.0;;0.0213938637480406;47.37;26.29;0.8823529411764706;2017.0;0.0241484767357775;7.97;2.85;0.00739343869732;3.59;0.0295434923375828;0.51;0.0163369304556351;0.5;-0.0045534665099876;-0.4;0.61;3076730000.0;515604000.0;2561130000.0;3057730000.0;5040500000.0
ABCB4;Banco ABC;Intermediários Financeiros;Bancos;3.8;Nível 2;100% PN;61,69% PN - 30,73% Total;27.282177422577;21.0;15116722.33;5.93;1.0;;0.0437235718534509;0.1;1.0;0.0412192852662764;25.5;1.0;;0.0034412724729295;17.06;15.5;1.0;;0.000935582886665;5.38;0.05;-0.1827411167512859;;;;;0.91;0.0044577727346408;-0.1;;;;;;5721810000.0
UNIP6;Unipar;Químicos;Químicos Diversos;3.6;Tradicional;80% ON - 0% PN;14,66% ON - 65,62% PN - 47,81% Total;27.839142583442;20.0;11008440.79;9.33;1.0;;0.0867140880996253;1.17;2.58;0.0809453525644146;35.74;1.0;;-0.0087858990063982;20.79;13.63;0.9375;2009.0;0.0793271238368105;5.77;1.92;-0.0419930447442508;-0.22;0.2249309070737488;-0.09;0.2938154782020616;0.54;-0.0106410930110351;-2.04;0.47;1332240000.0;1595670000.0;-263422000.0;2650190000.0;2808340000.0
VULC3;Vulcabras;Tecidos, Vestuário e Calçados;Calçados;3.8;Novo Mercado;100% ON;19,76% ON;37.748215763677;18.0;14639509.88;8.24;0.6428571428571429;2015.0;0.1198441028071097;1.66;2.34;0.0910252457908191;40.55;1.0;;0.0201637391085092;19.67;20.41;0.7058823529411765;2015.0;0.0901760779238396;8.6;4.39;0.0474002100840265;0.02;0.0232103081301786;0.01;0.8261846901579881;0.29;-0.1871905940594174;-5.56;0.19;373946000.0;363388000.0;10558000.0;1963060000.0;1985350000.0
ZAMP3;Burger King;Hoteis e Restaurantes;Restaurante e Similares;1.9;Tradicional;100% ON;30,89% ON;63.321182003634;0.0;7472744.04;-11.72;0.2857142857142857;2024.0;0.1421896229300492;0.34;1.01;-0.1307968059021335;65.31;1.0;;0.0020289710218384;2.49;-3.02;0.2727272727272727;2024.0;0.0274054661175624;22.16;1.03;-0.0264501160092783;7.98;0.255670004311793;0.57;0.0802614379084964;0.67;0.0254545454545449;-0.43;0.87;1152640000.0;393745000.0;758896000.0;835574000.0;1331470000.0
PLPL3;Plano&Plano;Construção Civil;Incorporações;3.6;Novo Mercado;100% ON;26,79% ON;53.238221478129;0.0;10377898.42;9.4;1.0;;0.1356050186185551;1.15;3.83;0.1601778930190853;33.71;1.0;;-0.0187738603188873;15.29;13.02;1.0;;-0.0314327062228625;8.46;2.96;-0.2180379746835967;0.42;-0.0682274247491591;0.2;-0.7145631067962912;0.68;-0.0489620615604886;-8.05;0.78;465040000.0;346163000.0;118877000.0;1699010000.0;597321000.0
GUAR3;Guararapes;Comércio;Tecidos, Vestuário e Calçados;3.1;Novo Mercado;100% ON;17,25% ON;68.732803284332;13.0;9421253.42;-15.68;0.7857142857142857;2024.0;-0.8471294698475783;0.18;0.51;-0.2986905895722399;58.32;1.0;;0.0020530770983067;3.34;-1.87;0.8235294117647058;2024.0;-0.5142201834863473;14.71;1.62;-0.0217679767471233;5.93;0.1026858584359629;0.34;0.0605924596050369;0.64;0.0322997416020691;-0.5;0.75;3729040000.0;2011670000.0;1717380000.0;8700400000.0;4986780000.0
RANI3;Irani;Madeira e Papel;Papel e Celulose;4.3;Novo Mercado;100% ON;42,35% ON;31.351923085393;33.0;8571908.63;5.27;0.7857142857142857;2019.0;0.0830399861920896;0.7;1.89;0.7180992501125885;46.85;1.0;;0.0241421779890724;40.73;28.58;0.8125;2019.0;0.0722650284603474;5.3;3.91;0.0617660785961109;1.59;-0.0243646494579453;0.81;0.0019132570615991;0.63;0.0023773827372028;-1.05;1.23;1587290000.0;538080000.0;1049210000.0;1153550000.0;1290940000.0
VLID3;Valid;Serviços Diversos;Serviços Diversos;3.6;Novo Mercado;100% ON;52,65% ON;40.458467065314;7.0;10378075.71;8.69;0.9285714285714286;2020.0;-0.1047011873409869;0.66;1.3;0.0306738649257882;38.84;1.0;;0.0178400174618273;19.36;10.32;0.9375;2020.0;-0.2804207061854652;5.38;2.0;-0.0393077176315687;0.74;0.0060102354145343;0.21;0.0241628558784534;0.48;0.007407407407407;-1.32;0.54;736416000.0;455318000.0;281098000.0;1348350000.0;1358760000.0
SRNA3;Omega Energia;Energia Elétrica;Energia Elétrica;1.6;Novo Mercado;100% ON;26,95% ON;45.5560509981;0.0;8098298.13;116.99;0.6666666666666666;2022.0;0.5045045045044405;0.34;1.19;-0.0090124797639282;32.08;1.0;;-0.2554861863994533;29.57;1.86;0.75;2022.0;1.545895824257772;17.86;0.48;-1.0766871165647178;10.54;0.1003208185207806;1.71;0.1135982092893306;0.72;0.0124826629681003;-0.38;1.86;9426550000.0;758466000.0;8668080000.0;2122200000.0;5079960000.0
MILS3;Mills;Diversos;Aluguel de carros;4.2;Novo Mercado;100% ON;36,97% ON;44.095634861249;21.0;11781645.88;13.01;0.5714285714285714;2020.0;0.0463493312793013;1.16;2.29;-0.0611176217265483;65.4;1.0;;-0.0005213555243633;32.41;18.29;0.625;2020.0;0.4883141762451977;8.43;2.49;0.028759723136311;1.1;0.11160115052731;0.34;-0.9322709163343544;0.49;-0.0134054954204848;-1.83;0.76;1054750000.0;579407000.0;475344000.0;1012780000.0;1390720000.0
SEQL3;Sequoia;Serviços Diversos;Serviços Diversos;1.7;Novo Mercado;100% ON;79,95% ON;142.556938402821;30.0;15173714.13;-0.35;0.2;2024.0;0.2767218667670306;0.1;1.33;-2.0299799297540333;5.07;1.0;;-0.3676114023590784;-29.02;-45.21;0.25;2024.0;0.1889194291272888;-3.67;0.64;-0.0741705511379283;-3.13;-1.569841269841043;7.68;0.1504700948140218;0.93;0.0280806979280225;-0.13;7.77;985405000.0;11409000.0;973996000.0;418709000.0;126809000.0
ARML3;Armac;Diversos;Aluguel de carros;3.9;Novo Mercado;100% ON;19,62% ON;52.911498445938;2.0;7932345.58;28.32;1.0;;0.1861638682447928;1.2;3.93;0.0288443924641033;48.07;1.0;;0.011786318787927;34.23;13.57;1.0;;-0.0420174272633262;14.45;2.22;-0.0825652841781783;3.33;-0.0947756195579389;1.17;-0.2113163972286187;0.69;-0.028443113772463;-1.74;1.82;2203470000.0;787044000.0;1416420000.0;1228790000.0;1213290000.0
