TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
ABEV3;13.2;5.53;13.79;2.3;1.51;50.3;22.59;18.29;11.16;10.42;-0.75;-0.15;2.52;56.1;-2.07;1.11;16.71;10.94;18.63;0.65;0.34;0.6;10.72;15.72;284544571.81;5.73;0.96;0.91;207950599348.8
LREN3;16.15;4.42;16.71;1.59;0.78;60.17;6.85;6.95;16.95;15.74;-1.21;-0.11;1.16;3.24;-1.88;1.7;9.54;4.67;6.78;0.49;0.51;0.67;12.26;4.91;281684958.06;10.14;0.97;-0.7;15556115936.95
HAPV3;4.01;;-29.51;0.62;0.4;24.41;0.59;-3.8;189.42;223.74;34.32;0.11;1.12;71.01;-0.46;1.05;-2.09;-1.37;-0.36;0.66;0.34;0.36;43.91;;277048010.44;6.51;-0.14;-0.1;30233247684.63
RAIL3;22.45;0.29;43.27;2.61;0.84;36.76;35.38;9.13;11.17;14.41;3.25;0.76;3.95;7.31;-1.1;1.99;6.04;1.95;10.08;0.32;0.67;0.21;10.6;;276272549.25;8.59;0.52;-0.04;41641807905.05
BPAC11;37.0;1.71;16.05;2.97;0.33;19.88;23.13;19.91;13.82;13.82;;;3.2;23.04;-3.41;1.02;18.51;2.07;;0.11;0.89;0.1;46.0;33.74;254659875.78;12.46;2.31;0.68;141908812445.33
EQTL3;34.85;1.0;21.48;2.04;0.4;30.07;19.86;4.94;5.35;10.14;4.8;1.83;1.06;10.54;-0.53;1.19;9.51;1.88;10.16;0.2;0.77;0.38;24.5;13.29;249136216.58;17.06;1.62;-1.06;39976720665.45
ELET3;41.13;0.54;29.64;0.84;0.34;49.99;39.25;9.09;6.86;9.79;2.83;0.35;2.69;3.5;-0.43;1.88;2.83;1.16;7.24;0.41;0.59;0.13;2.97;;230893823.11;49.03;1.39;-0.93;96291456837.56
SUZB3;51.85;2.24;4.03;1.64;0.48;42.65;37.39;38.93;4.2;7.75;3.55;1.39;1.57;2.78;-0.66;2.82;40.79;12.03;9.58;0.29;0.7;0.31;36.49;56.62;223805728.42;31.54;12.86;-0.61;68655498337.75
VBBR3;23.34;1.84;13.36;2.01;0.66;4.58;2.47;1.24;6.7;9.05;2.36;0.71;0.17;2.15;-1.45;2.31;15.01;4.97;11.75;0.33;0.67;4.01;16.5;12.07;223796660.22;11.64;1.75;6.84;27191100000.0
GGBR4;21.78;7.39;4.71;0.76;0.5;17.5;16.69;11.27;3.18;3.56;0.45;0.11;0.53;1.88;-0.84;2.93;16.07;10.64;15.45;0.66;0.34;0.94;17.42;;203883002.78;28.8;4.63;-0.11;37392151743.68
AZUL4;14.07;;-14.57;-0.84;0.91;21.1;12.33;-6.75;7.97;13.47;11.28;;0.98;-2.19;-1.3;0.42;-5.74;-6.23;42.22;-1.09;2.09;0.92;15.41;;201405449.67;-16.83;-0.97;0.32;4897536375.44
RRRP3;28.35;;-185.28;1.31;0.35;31.72;14.54;-0.87;11.12;23.78;12.66;1.5;1.62;118.23;-0.41;1.02;-0.71;-0.19;3.11;0.27;0.73;0.22;118.19;;194810275.31;21.57;-0.15;1.58;6814876477.5
ITSA4;9.94;5.88;7.44;1.29;1.0;33.55;205.76;186.19;6.73;6.9;0.19;0.04;13.85;20.61;-1.14;1.65;17.31;13.43;15.74;0.78;0.18;0.07;11.3;11.13;192609482.03;7.72;1.34;-1.63;102413354187.13
SBSP3;77.09;1.66;17.69;1.78;0.89;35.05;21.66;12.29;10.04;13.09;3.05;0.54;2.17;-4207.94;-1.01;1.0;10.07;5.05;8.62;0.5;0.5;0.41;8.59;3.41;187922460.89;43.3;4.36;-8.04;52691775801.21
WEGE3;33.25;1.85;28.08;8.66;4.64;31.56;18.8;15.7;23.45;22.97;-0.48;-0.18;4.41;14.51;-14.96;1.86;30.82;16.52;25.44;0.54;0.45;1.05;25.71;34.19;183268667.11;3.84;1.18;0.7;139560823433.5
MRVE3;7.98;;-17.39;0.65;0.19;21.73;1.16;-3.61;54.12;137.94;83.82;1.01;0.63;0.84;-0.34;1.99;-3.76;-1.07;0.34;0.28;0.68;0.3;6.86;;176284709.67;12.19;-0.46;0.11;4491356834.58
BBSE3;33.74;10.33;8.81;6.33;4.16;;;;7.77;7.77;;;;39.01;-5.78;1.61;71.8;47.15;;0.66;0.34;0.0;;13.59;167896168.0;5.33;3.83;0.25;67480000000.0
CMIG4;11.66;8.49;3.84;1.05;0.46;24.73;21.11;18.52;3.37;4.74;1.04;0.32;0.71;8.01;-0.61;1.3;27.35;11.9;17.7;0.43;0.56;0.64;9.68;46.18;165894220.06;11.1;3.04;13.15;28191939572.4
EMBR3;22.72;;-411.91;1.32;0.32;18.0;4.64;-0.15;13.52;18.68;5.16;0.5;0.63;1.45;-0.74;1.65;-0.32;-0.08;3.22;0.24;0.73;0.51;4.54;;157546177.5;17.23;-0.06;4.28;16823365799.68
NTCO3;16.2;;4.73;0.8;0.44;64.98;-0.93;14.39;-73.48;-71.64;1.84;-0.02;0.68;2.86;-0.68;1.82;16.95;9.39;-3.13;0.55;0.45;0.65;29.83;47.94;153681785.36;20.21;3.43;-0.01;22466938669.2
CPLE6;10.05;3.33;14.98;1.29;0.54;21.02;13.52;9.07;10.05;13.24;3.21;0.41;1.36;6.94;-0.71;1.48;8.61;3.59;7.22;0.42;0.58;0.4;9.35;14.12;151362488.36;7.8;0.67;0.12;29899693364.18
ASAI3;14.0;0.36;20.05;4.38;0.46;16.45;5.04;1.53;6.06;9.16;3.1;2.24;0.31;-5.54;-0.67;0.79;21.83;2.28;16.55;0.1;0.9;1.5;;;150673667.61;3.2;0.7;-0.49;18925664800.0
ENGI11;50.09;4.99;12.09;1.7;0.31;27.18;21.15;6.23;3.56;8.0;4.44;2.11;0.75;-54.47;-0.41;0.98;14.02;2.59;11.08;0.18;0.77;0.42;14.21;24.77;148125495.0;29.54;4.14;-0.48;20427568957.72
RADL3;26.0;0.75;41.38;7.81;2.3;29.98;6.28;3.28;21.63;22.84;1.2;0.43;1.36;12.34;-5.54;1.47;18.86;5.57;21.88;0.3;0.7;1.7;17.08;16.12;142487315.5;3.33;0.63;1.84;44668187200.0
JBSS3;24.2;4.13;44.51;1.28;0.25;-5.62;-5.15;0.33;-2.89;-7.22;-4.33;1.92;0.15;1.52;-0.42;1.7;2.87;0.56;-15.01;0.2;0.79;1.68;18.1;17.69;140517446.25;18.92;0.54;-0.47;53678416154.0
UGPA3;27.95;1.25;14.41;2.45;0.86;6.77;3.25;1.68;7.46;9.29;1.83;0.6;0.24;3.85;-1.7;1.81;17.03;5.94;12.14;0.35;0.64;3.53;12.42;6.56;133704447.33;11.39;1.94;0.24;31170189095.5
CYRE3;23.16;3.65;10.26;1.19;0.54;32.09;17.55;15.25;8.92;11.11;2.19;0.29;1.57;1.6;-1.13;2.93;11.59;5.3;6.62;0.46;0.5;0.35;15.15;;127412111.47;19.47;2.26;1.01;9258043224.84
ARZZ3;57.25;3.38;16.52;2.2;1.13;53.6;11.5;8.13;11.67;12.5;0.82;0.16;1.34;12.44;-2.15;1.23;13.3;6.83;13.38;0.51;0.48;0.84;25.49;20.02;125662118.86;26.05;3.47;-1.1;6354132043.5
CSAN3;18.46;2.32;-74.87;1.87;0.25;26.67;30.14;-1.14;2.82;6.67;3.85;2.55;0.85;3.21;-0.32;1.62;-2.5;-0.34;10.29;0.13;0.65;0.29;38.95;;120416482.25;9.86;-0.25;0.58;34595349404.72
RDOR3;27.17;1.36;36.45;2.73;0.65;17.33;10.55;4.21;14.53;15.01;0.48;0.09;1.53;2.21;-1.22;2.7;7.49;1.78;6.86;0.24;0.75;0.42;;;115570164.86;9.95;0.75;1.49;62200079670.3
BRFS3;14.47;;-6.59;1.72;0.41;14.97;-0.74;-6.84;-60.66;-87.86;-27.2;0.77;0.45;3.84;-0.79;1.29;-26.15;-6.23;-1.23;0.24;0.75;0.91;13.7;;114083978.94;8.39;-2.19;-0.04;24345387869.62
CSNA3;17.92;10.94;-26.99;1.34;0.27;25.98;10.23;-1.98;5.21;11.17;5.95;1.53;0.53;2.15;-0.42;1.53;-4.96;-1.0;7.11;0.2;0.77;0.5;19.08;;113911298.97;13.39;-0.66;0.2;23763603530.24
CIEL3;4.86;5.83;6.83;1.1;0.14;46.49;32.18;18.27;3.88;5.51;1.63;0.46;1.25;1.06;-1.18;1.17;16.16;2.0;12.1;0.12;0.85;0.11;-1.62;-13.77;113388900.58;4.41;0.71;0.19;13203721196.46
SOMA3;7.04;1.44;18.08;0.72;0.51;56.57;8.12;5.86;13.04;15.76;2.72;0.15;1.06;3.8;-0.75;1.76;4.0;2.84;3.69;0.71;0.29;0.49;36.69;30.81;111500187.64;9.73;0.39;-27.24;5524621505.92
ALOS3;24.69;2.1;4.52;0.96;0.51;96.37;264.05;140.12;2.4;2.12;-0.28;-0.11;6.33;13.81;-0.56;1.58;21.32;11.2;27.21;0.53;0.43;0.08;25.65;86.64;107213207.89;25.62;5.46;0.0;14170502283.21
TOTS3;30.9;1.42;24.94;4.05;2.18;70.36;17.31;18.09;26.06;24.22;-1.84;-0.29;4.51;7.47;-3.89;2.97;16.23;8.73;8.68;0.54;0.43;0.48;11.23;52.41;101586384.06;7.64;1.24;0.4;19070960292.9
