Papel;Tipo;Empresa;Setor;Subsetor;Cotação;Min 52 sem;Max 52 sem;Vol $ méd (2m);Nro. Ações;Valor de mercado;Valor da firma;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;Div. Yield;ROIC;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido;Receita Líquida_;EBIT_;Lucro Líquido_;Depósitos;Cart. de Crédito;Result Int Financ;Result Int Financ_;Rec Serviços;Rec Serviços_
EMBR3;ON;EMBRAER ON;Material de Transporte;Material Aeronáutico e de Defesa;22.68;16.07;24.36;138026000.0;740465000.0;16793700000.0;23214700000.0;-411.19;-0.06;1.32;17.23;7.57;18.0%;0.63;8.3%;0.32;-0.3%;1.44;4.3%;-1.95;0.0%;5.6%;-0.3%;6.85;1.65;10.46;1.12;21.6%;0.51;52147300000.0;14344300000.0;7923370000.0;6420940000.0;29537300000.0;12757400000.0;26838400000.0;2218630000.0;-40842000.0;6295990000.0;537346000.0;304458000.0;;;;;;
ASAI3;ON NM;ASSAI ON NM;Comércio e Distribuição;Alimentos;13.54;10.5;18.75;136177000.0;1351830000.0;18303800000.0;27980800000.0;22.35;0.61;4.23;3.2;4.24;16.4%;0.29;6.7%;0.44;1.3%;-5.36;10.5%;-0.77;0.4%;17.5%;18.9%;4.91;0.79;6.48;3.26;58.8%;1.55;41341000000.0;14094000000.0;4417000000.0;9677000000.0;13215000000.0;4325000000.0;64036000000.0;4321000000.0;819000000.0;17002000000.0;1180000000.0;185000000.0;;;;;;
CMIG4;PN N1;CEMIG PN N1;Energia Elétrica;Energia Elétrica;11.89;9.35;12.82;134078000.0;2201370000.0;26174300000.0;34112100000.0;4.95;2.4;1.07;11.1;3.18;24.7%;0.73;22.8%;0.47;14.7%;8.17;14.7%;-1.47;10.9%;16.7%;21.6%;3.6;1.3;4.14;0.5;11.9%;0.64;56165400000.0;12105900000.0;4168070000.0;7937840000.0;13919400000.0;24427800000.0;36071700000.0;8235230000.0;5285360000.0;9426630000.0;1843280000.0;1236710000.0;;;;;;
UGPA3;ON;ULTRAPAR PARTICIPAÇÕES SA ON;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;29.82;12.72;29.83;131361000.0;1115210000.0;33255600000.0;40919100000.0;15.37;1.94;2.62;11.39;7.18;6.8%;0.26;3.6%;0.91;1.7%;4.11;12.7%;-6.49;1.2%;18.4%;17.0%;7.15;1.81;8.83;1.1;13.0%;3.53;36409100000.0;13909800000.0;6246320000.0;7663510000.0;18039100000.0;12701500000.0;128585000000.0;4632330000.0;2163410000.0;32483500000.0;1737640000.0;864854000.0;;;;;;
CPLE6;PNB;COPEL PNB;Energia Elétrica;Energia Elétrica;10.33;6.37;10.36;124558000.0;2982810000.0;30812400000.0;40394900000.0;15.4;0.67;1.33;7.8;9.0;21.0%;1.4;15.5%;0.55;9.1%;7.14;6.1%;-1.63;3.2%;7.1%;8.6%;8.44;1.48;11.8;0.65;10.2%;0.4;55701400000.0;15140300000.0;5557890000.0;9582450000.0;13313700000.0;23253100000.0;22061100000.0;3423220000.0;2001060000.0;5543990000.0;505189000.0;435405000.0;;;;;;
SOMA3;ON NM;GRUPO SOMA ON NM;Comércio;Tecidos, Vestuário e Calçados;7.03;5.06;12.27;122448000.0;784747000.0;5516770000.0;6669910000.0;18.05;0.39;0.72;9.73;10.83;56.6%;1.06;9.8%;0.51;5.9%;3.79;4.7%;22.29;1.4%;5.2%;4.0%;8.23;1.76;13.09;0.17;59.6%;0.49;10750100000.0;1329080000.0;175946000.0;1153130000.0;3359780000.0;7637750000.0;5219520000.0;509450000.0;305635000.0;1364130000.0;146994000.0;98901000.0;;;;;;
JBSS3;ON NM;JBS ON NM;Alimentos Processados;Carnes e Derivados;22.21;15.28;25.17;122152000.0;2218120000.0;49264400000.0;129653000000.0;40.85;0.54;1.17;18.92;-0.91;-5.6%;0.14;-15.1%;0.23;0.4%;1.39;-25.4%;-0.6;4.5%;-34.4%;2.9%;-2.95;1.7;-2.38;2.58;17.9%;1.68;214515000000.0;108114000000.0;27725100000.0;80388600000.0;86249200000.0;41972500000.0;360341000000.0;-54422500000.0;1206110000.0;91409500000.0;2635730000.0;572651000.0;;;;;;
CSAN3;ON;COSAN SA INDUSTRIA E COMERCIO ON;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;18.81;13.28;20.49;117257000.0;1874070000.0;35251300000.0;82426600000.0;-76.29;-0.25;1.91;9.86;5.11;26.7%;0.87;17.0%;0.26;6.4%;3.27;5.0%;-0.57;2.3%;5.8%;-2.5%;8.06;1.62;11.94;3.37;39.1%;0.29;137854000000.0;62256700000.0;15081400000.0;47175300000.0;28130600000.0;18481500000.0;40649400000.0;6900980000.0;-462058000.0;10253600000.0;2223230000.0;678752000.0;;;;;;
CYRE3;PN;CYRELA BRAZIL REALTY PN;Construção Civil;Incorporações;21.85;12.48;25.33;114881000.0;399743000.0;8734390000.0;11008400000.0;9.68;2.26;1.12;19.47;11.18;32.1%;1.48;13.2%;0.51;15.2%;1.51;4.6%;27.23;3.9%;5.5%;11.6%;13.58;2.93;14.09;0.63;11.2%;0.35;17023200000.0;4926020000.0;2652030000.0;2273990000.0;8804030000.0;7782360000.0;5913380000.0;781189000.0;901981000.0;1625990000.0;239858000.0;251319000.0;;;;;;
CSNA3;ON;CSN ON;Siderurgia e Metalurgia;Siderurgia;18.92;10.38;19.66;112627000.0;1326090000.0;25089700000.0;52216700000.0;-28.5;-0.66;1.41;13.39;3.54;26.0%;0.56;15.9%;0.28;-0.6%;2.28;8.0%;-0.69;10.4%;10.9%;-5.0%;5.02;1.53;7.37;2.45;17.9%;0.5;88409700000.0;43574200000.0;16447200000.0;27127000000.0;31712500000.0;17762500000.0;44562100000.0;7085190000.0;-880332000.0;11125000000.0;1630070000.0;-154480000.0;;;;;;
