Papel;Tipo;Empresa;Setor;Subsetor;Cotação;Min 52 sem;Max 52 sem;Vol $ méd (2m);Nro. Ações;Valor de mercado;Valor da firma;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;Div. Yield;ROIC;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido;Receita Líquida_;EBIT_;Lucro Líquido_;Depósitos;Cart. de Crédito;Result Int Financ;Result Int Financ_;Rec Serviços;Rec Serviços_
RANI3;ON;IRANI ON;Madeira e Papel;Papel e Celulose;10.14;7.21;12.92;8259300.0;239830000.0;2431880000.0;3481090000.0;5.26;1.93;1.88;5.38;4.65;46.8%;1.5;32.3%;0.7;28.6%;2.83;15.1%;-2.36;8.6%;18.7%;35.8%;5.54;3.91;6.65;1.23;18.1%;0.47;3473580000.0;1587290000.0;538080000.0;1049210000.0;1153550000.0;1290940000.0;1617620000.0;523198000.0;462258000.0;407855000.0;132708000.0;64635000.0;;;;;;
SRNA3;ON NM;SERENA ON NM;Energia Elétrica;Energia Elétrica;9.97;7.6;11.71;8225270.0;622731000.0;6208630000.0;14876700000.0;120.0;0.08;1.22;8.16;8.29;32.1%;2.23;26.9%;0.35;1.9%;-2.65;4.2%;-0.58;0.0%;4.4%;1.0%;12.48;0.48;19.87;1.86;42.3%;0.15;17945400000.0;9426550000.0;758466000.0;8668080000.0;2122200000.0;5079960000.0;2779570000.0;748624000.0;51737000.0;865847000.0;308270000.0;103028000.0;;;;;;
ARML3;ON NM;ARMAC ON NM;Diversos;Aluguel de carros;13.29;10.55;17.98;8002440.0;346016000.0;4598550000.0;6014980000.0;27.29;0.49;3.79;3.51;10.82;48.1%;3.7;34.2%;1.16;13.6%;6.81;10.7%;-3.02;1.8%;14.8%;13.9%;10.0;2.22;14.15;1.82;184.6%;0.31;3964460000.0;2203470000.0;787044000.0;1416420000.0;1228790000.0;1213290000.0;1241850000.0;425060000.0;168486000.0;359539000.0;126840000.0;47874000.0;;;;;;
AGRO3;ON NM;BRASILAGRO ON NM;Agropecuária;Agricultura;23.7;20.19;26.97;7910720.0;102683000.0;2433600000.0;3261430000.0;9.23;2.57;1.23;19.24;9.95;29.4%;2.01;20.2%;0.74;21.7%;3.99;7.5%;-11.59;13.6%;8.5%;13.3%;9.79;2.25;13.33;0.53;21.8%;0.37;3282200000.0;1047920000.0;220083000.0;827834000.0;1096140000.0;1976040000.0;1213380000.0;244598000.0;263578000.0;155287000.0;-25607000.0;-5822000.0;;;;;;
GRND3;ON;GRENDENE SA ON;Tecidos, Vestuário e Calçados;Calçados;6.37;5.38;7.62;7632510.0;902160000.0;5746760000.0;5047610000.0;11.11;0.57;1.65;3.86;15.54;44.0%;2.36;15.2%;1.49;21.2%;2.69;9.6%;2.73;21.8%;12.3%;14.8%;10.88;7.09;13.65;0.03;6.6%;0.63;3865070000.0;92688000.0;791839000.0;-699151000.0;2483290000.0;3483510000.0;2436500000.0;369917000.0;517246000.0;689103000.0;120840000.0;134276000.0;;;;;;
POSI3;ON NM;POSITIVO TEC ON NM;Computadores e Equipamentos;Computadores e Equipamentos;7.32;5.92;9.68;7466450.0;141800000.0;1037980000.0;1914090000.0;5.43;1.35;0.72;10.21;2.75;30.0%;0.29;10.6%;0.25;5.5%;0.68;9.0%;1.61;7.0%;12.9%;13.2%;4.44;1.83;5.07;0.87;24.3%;0.86;4177810000.0;1264750000.0;388642000.0;876110000.0;3364850000.0;1447110000.0;3573060000.0;377619000.0;191147000.0;849022000.0;67939000.0;27029000.0;;;;;;
LIGT3;ON;LIGHT SA ON;Energia Elétrica;Energia Elétrica;5.5;1.92;9.77;7296310.0;372555000.0;2049050000.0;10866100000.0;-0.39;-14.2;0.67;8.18;-1.44;16.5%;0.15;-10.7%;0.09;-39.8%;-0.19;-6.1%;-0.13;0.0%;-7.1%;-173.5%;-16.7;0.29;-7.64;3.46;2.3%;0.57;23361900000.0;10534600000.0;1717530000.0;8817080000.0;4506480000.0;3048560000.0;13290300000.0;-1422550000.0;-5288410000.0;3495320000.0;368385000.0;-10923000.0;;;;;;
ZAMP3;ON;ZAMP S.A. ON;Hoteis e Restaurantes;Restaurante e Similares;4.3;3.63;6.8;7085810.0;275355000.0;1184030000.0;1942920000.0;-10.28;-0.42;0.89;4.84;12.45;65.3%;0.31;2.5%;0.3;-3.0%;44.51;2.4%;-0.65;0.0%;2.9%;-8.6%;3.7;1.03;20.43;0.87;11.3%;0.96;3981000000.0;1152640000.0;393745000.0;758896000.0;835574000.0;1331470000.0;3819450000.0;95117900.0;-115159000.0;948016000.0;10551000.0;-38473000.0;;;;;;
EVEN3;ON NM;Even ON NM;Construção Civil;Incorporações;7.63;4.02;8.2;6894110.0;200000000.0;1526000000.0;1708100000.0;9.6;0.79;0.79;9.69;8.01;20.5%;0.6;7.5%;0.22;8.8%;0.39;2.7%;1.28;6.6%;3.2%;8.2%;8.53;3.51;8.97;0.59;10.7%;0.36;7052270000.0;1135080000.0;952984000.0;182097000.0;5447260000.0;1937970000.0;2531040000.0;190401000.0;158972000.0;651805000.0;26540000.0;48035000.0;;;;;;
MLAS3;ON NM;MULTILASER ON NM;Computadores e Equipamentos;Computadores e Equipamentos;1.97;1.26;3.71;6864870.0;820539000.0;1616460000.0;1656600000.0;-2.26;-0.87;0.46;4.32;-2.22;12.5%;0.43;-19.3%;0.28;-19.0%;0.52;-12.5%;0.76;0.0%;-16.5%;-20.2%;-2.52;3.45;-2.28;0.26;-7.8%;0.65;5823370000.0;938385000.0;898252000.0;40133000.0;4416210000.0;3542230000.0;3770030000.0;-727648000.0;-716573000.0;883788000.0;-194661000.0;-212246000.0;;;;;;
FESA4;PN;FERBASA PN;Siderurgia e Metalurgia;Siderurgia;9.43;9.29;14.59;6675970.0;353280000.0;3331430000.0;2644410000.0;6.95;1.36;1.03;9.2;6.58;28.8%;1.28;19.4%;0.81;18.4%;2.73;12.2%;4.17;7.3%;16.6%;14.8%;3.7;3.6;5.22;0.09;24.4%;0.63;4136810000.0;277800000.0;964825000.0;-687025000.0;1686370000.0;3248510000.0;2607580000.0;506531000.0;479623000.0;550921000.0;58093000.0;74463000.0;;;;;;
SEER3;ON NM;SER EDUCA ON NM;Diversos;Serviços Educacionais;5.88;2.81;8.65;6495210.0;128722000.0;756885000.0;1279860000.0;-4.76;-1.24;0.63;9.35;3.81;50.4%;0.42;11.1%;0.22;-8.9%;9.31;5.8%;-0.51;0.0%;6.2%;-13.2%;2.97;1.13;6.43;0.59;10.2%;0.52;3428100000.0;706970000.0;183992000.0;522978000.0;730966000.0;1203790000.0;1791140000.0;198901000.0;-159127000.0;418291000.0;31449000.0;-36767000.0;;;;;;
CAML3;ON NM;CAMIL ON NM;Alimentos Processados;Alimentos Diversos;8.53;6.44;9.06;6421240.0;350000000.0;2985500000.0;6791970000.0;11.08;0.77;0.98;8.68;6.3;19.7%;0.27;4.3%;0.29;2.4%;1.14;4.6%;-2.63;3.4%;6.1%;8.9%;9.22;1.74;14.33;1.74;20.1%;1.07;10333600000.0;5292250000.0;1485780000.0;3806480000.0;6158480000.0;3038400000.0;11082700000.0;473860000.0;269507000.0;3003560000.0;154365000.0;142913000.0;;;;;;
PGMN3;ON NM;PAGUE MENOS ON NM;Comércio e Distribuição;Medicamentos e Outros Produtos;2.87;2.31;4.21;6259490.0;541780000.0;1554910000.0;2765150000.0;24.61;0.12;0.61;4.72;4.43;31.9%;0.14;3.2%;0.18;-0.9%;1.09;4.0%;-0.9;10.3%;5.4%;2.5%;3.14;1.48;7.87;0.68;14.3%;1.26;8703190000.0;1740450000.0;530204000.0;1210240000.0;4413720000.0;2557500000.0;10992200000.0;351351000.0;63186000.0;2879490000.0;114433000.0;-23659000.0;;;;;;
MDNE3;ON NM;MOURA DUBEUX ON NM;Construção Civil;Incorporações;11.09;4.73;13.33;6158960.0;84909000.0;941641000.0;920423000.0;7.1;1.56;0.72;15.39;5.21;33.2%;0.88;16.8%;0.29;12.3%;1.28;5.6%;-1.22;0.0%;6.2%;10.2%;4.92;2.69;5.1;0.19;32.0%;0.33;3248940000.0;241869000.0;263087000.0;-21218000.0;1173460000.0;1306870000.0;1075660000.0;180580000.0;132683000.0;301901000.0;58124000.0;46121000.0;;;;;;
TGMA3;ON NM;Tegma ON NM;Transporte;Transporte Rodoviário;25.65;15.15;28.29;6064430.0;66003000.0;1692980000.0;1603310000.0;9.05;2.83;2.07;12.42;7.83;19.7%;1.1;14.1%;1.45;12.2%;4.26;18.5%;7.26;6.7%;25.0%;22.8%;6.68;3.2;7.41;0.21;4.5%;1.32;1166100000.0;168964000.0;258630000.0;-89666000.0;578394000.0;819533000.0;1539070000.0;216255000.0;187057000.0;426977000.0;65718000.0;56176000.0;;;;;;
BMGB4;PN N1;BANCO BMG PN N1;Intermediários Financeiros;Bancos;3.92;1.78;4.25;5851970.0;583232000.0;2286270000.0;;11.17;0.35;0.58;6.73;;;;;;0.0%;;0.0%;;9.6%;;5.2%;;;;;-6.1%;;46665100000.0;;;;;3925170000.0;;;204662000.0;;;124390000.0;29818700000.0;19550100000.0;1460060000.0;442739000.0;213624000.0;50853000.0
LOGG3;ON NM;LOG COM PROP ON NM;Exploração de Imóveis;Exploração de Imóveis;20.31;13.35;24.07;5712320.0;102159000.0;2074850000.0;3576070000.0;10.8;1.88;0.56;36.51;12.84;98.2%;9.42;73.4%;0.33;88.6%;5.13;2.6%;-1.31;3.4%;2.8%;5.2%;21.6;1.77;22.13;0.51;16.3%;0.04;6254450000.0;1897740000.0;396515000.0;1501220000.0;933017000.0;3729940000.0;220156000.0;161567000.0;192176000.0;47608000.0;30896000.0;73407000.0;;;;;;
PORT3;ON NM;WILSON SONS ON NM;Transporte;Serviços de Apoio e Armazenagem;16.9;9.04;17.36;5671850.0;439989000.0;7435810000.0;9893220000.0;18.73;0.9;3.23;5.22;12.6;44.7%;3.14;24.9%;1.29;17.1%;-51.75;10.2%;-2.81;4.5%;10.9%;17.3%;11.28;0.85;16.76;1.16;-14.6%;0.41;5764980000.0;2674460000.0;217046000.0;2457410000.0;813418000.0;2298890000.0;2366380000.0;590158000.0;397018000.0;618585000.0;184283000.0;94057000.0;;;;;;
JALL3;ON NM;JALLESMACHAD ON NM;Alimentos Processados;Açucar e Alcool;7.42;6.21;9.15;5406400.0;303542000.0;2252280000.0;5168810000.0;103.54;0.07;1.09;6.83;21.1;21.7%;1.34;6.4%;0.33;1.3%;1.2;1.6%;-1.05;5.8%;1.9%;1.0%;6.33;3.88;48.42;1.94;9.8%;0.25;6740850000.0;4018430000.0;1101900000.0;2916530000.0;2526130000.0;2072120000.0;1676380000.0;106755000.0;21752000.0;495863000.0;-155817000.0;75765000.0;;;;;;
PNVL3;ON;PANVEL FARMÁCIAS ON;Comércio e Distribuição;Medicamentos e Outros Produtos;11.48;8.81;13.37;5352670.0;150377000.0;1726330000.0;2535960000.0;19.61;0.59;1.52;7.57;11.78;30.9%;0.4;3.4%;0.59;2.0%;2.39;5.0%;-24.15;2.2%;6.8%;7.7%;7.5;1.71;17.3;0.94;14.5%;1.47;2945700000.0;1074660000.0;265031000.0;809634000.0;1735160000.0;1139060000.0;4324540000.0;146598000.0;88022000.0;1130150000.0;39023000.0;23645000.0;;;;;;
BLAU3;ON NM;BLAU ON NM;Comércio e Distribuição;Medicamentos e Outros Produtos;12.26;11.71;29.98;4905010.0;179394000.0;2199370000.0;2329980000.0;6.95;1.76;1.11;11.01;7.49;39.4%;1.63;21.7%;0.72;23.2%;1.91;9.6%;4.22;3.4%;12.2%;16.0%;7.15;3.44;7.93;0.31;9.4%;0.44;3074040000.0;602548000.0;471940000.0;130608000.0;1626550000.0;1974820000.0;1351850000.0;293677000.0;316502000.0;362648000.0;38869000.0;99396000.0;;;;;;
FRAS3;ON;FRAS-LE S.A. ON;Material de Transporte;Material Rodoviário;16.03;8.61;17.11;4881980.0;270016000.0;4328360000.0;4191500000.0;13.33;1.2;2.25;7.14;7.32;34.0%;1.28;17.4%;1.1;9.7%;3.1;15.0%;11.92;3.0%;23.1%;16.9%;5.84;2.44;7.09;0.45;29.4%;0.86;3946530000.0;872494000.0;1009350000.0;-136857000.0;2365260000.0;1926600000.0;3394220000.0;591008000.0;324770000.0;889065000.0;172816000.0;103857000.0;;;;;;
VITT3;ON NM;VITTIA ON NM;Químicos;Fertilizantes e Defensivos;8.02;7.7;12.89;4558810.0;140649000.0;1128010000.0;1261600000.0;10.56;0.76;1.82;4.4;10.18;37.8%;1.52;14.9%;1.23;14.2%;3.14;12.1%;4.09;2.8%;13.5%;17.3%;9.62;2.67;11.39;0.32;2.6%;0.81;916569000.0;198749000.0;65150000.0;133599000.0;573903000.0;618428000.0;742994000.0;110768000.0;106808000.0;291389000.0;75509000.0;58002000.0;;;;;;
AERI3;ON NM;AERIS ON NM;Máquinas e Equipamentos;Máq. e Equip. Industriais;0.8;0.75;1.66;4542160.0;1242400000.0;993923000.0;2017450000.0;-9.08;-0.09;1.22;0.66;3.38;12.6%;0.31;9.1%;0.26;-3.4%;1.21;7.7%;-2.37;0.0%;10.7%;-13.4%;5.8;1.46;6.85;2.17;10.4%;0.84;3821650000.0;1767180000.0;743647000.0;1023530000.0;2586440000.0;815079000.0;3226830000.0;294346000.0;-109422000.0;885832000.0;62051000.0;-28694000.0;;;;;;
BRBI11;UNT N2;BR PARTNERS UNT N2;Intermediários Financeiros;Bancos;15.55;8.87;16.51;4540100.0;314987000.0;1632680000.0;;10.53;1.48;0.0;0.0;;;;;;;;0.0%;;8.5%;;;;;;;-78.3%;;845631000.0;;;;;0.0;;;155084000.0;;;43107000.0;0.0;128000.0;7295000.0;-351000.0;0.0;0.0
TASA4;PN;TAURUS ARMAS PN;Máquinas e Equipamentos;Armas e Munições;14.18;12.78;16.69;4394470.0;126634000.0;1795670000.0;2155960000.0;7.76;1.83;1.62;8.75;5.99;38.1%;0.92;15.3%;0.83;11.8%;3.68;13.8%;8.42;9.8%;15.7%;20.9%;6.46;1.62;7.19;0.45;23.0%;0.9;2170630000.0;501727000.0;141442000.0;360285000.0;1275880000.0;1108070000.0;1960730000.0;299940000.0;231293000.0;439319000.0;48274000.0;26001000.0;;;;;;
LAVV3;ON NM;LAVVI ON NM;Construção Civil;Incorporações;7.84;4.57;8.81;4327140.0;199534000.0;1564350000.0;1255280000.0;8.9;0.88;1.24;6.32;10.34;33.0%;1.97;19.0%;0.71;23.8%;1.4;6.9%;2.22;8.4%;9.0%;13.9%;8.25;3.44;8.29;0.15;8.2%;0.36;2198320000.0;184039000.0;493108000.0;-309069000.0;1572610000.0;1261230000.0;794922000.0;151349000.0;175776000.0;204980000.0;41082000.0;48565000.0;;;;;;
SOJA3;ON NM;BOA SAFRA ON NM;Agropecuária;Agricultura;15.29;9.8;16.4;4288490.0;117140000.0;1791080000.0;1698220000.0;9.31;1.64;1.94;7.89;7.9;15.1%;0.93;11.8%;0.71;11.9%;1.76;9.0%;3.22;6.3%;15.1%;20.8%;7.04;2.27;7.49;0.76;48.7%;0.77;2510350000.0;703908000.0;796764000.0;-92856000.0;1823410000.0;924072000.0;1927780000.0;226685000.0;192344000.0;987423000.0;120763000.0;101238000.0;;;;;;
AZEV4;PN;AZEVEDO & TRAVASSOS PN;Construção e Engenharia;Construção Pesada;1.58;1.18;3.43;4157130.0;167810000.0;265140000.0;306346000.0;-6.3;-0.25;1.89;0.83;-2.82;11.5%;0.54;-19.2%;0.44;-8.6%;-6.82;-15.6%;-1.21;0.0%;-17.9%;-30.0%;-6.05;0.86;-3.26;0.31;454.9%;0.82;601574000.0;43027000.0;1821000.0;41206000.0;242711000.0;140013000.0;490479000.0;-93928000.0;-42067000.0;68298000.0;-26782000.0;-35130000.0;;;;;;
PTBL3;ON;PORTOBELLO S/A ON;Construção e Engenharia;Produtos para Construção;5.73;4.5;8.46;3913000.0;140987000.0;807856000.0;1674750000.0;-20.06;-0.29;2.11;2.71;6.2;39.7%;0.38;6.1%;0.27;-1.9%;-36.04;4.3%;-0.55;3.7%;5.8%;-10.5%;6.49;0.98;12.85;3.12;21.5%;0.7;3035530000.0;1192620000.0;325731000.0;866892000.0;1191140000.0;382221000.0;2130940000.0;130329000.0;-40272000.0;598023000.0;56410000.0;3967000.0;;;;;;
OPCT3;ON NM;OCEANPACT ON NM;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;5.37;2.63;6.47;3897460.0;199960000.0;1073780000.0;2052730000.0;-15.99;-0.34;1.35;3.97;5.2;22.6%;0.69;13.3%;0.44;5.3%;5.16;8.5%;-1.19;0.0%;10.0%;-8.5%;4.51;1.41;9.95;1.56;52.5%;0.64;2421070000.0;1241380000.0;262438000.0;978945000.0;720860000.0;794548000.0;1547060000.0;206329000.0;-67161000.0;452228000.0;66416000.0;-13925000.0;;;;;;
BMOB3;ON NM;BEMOBI TECH ON NM;Programas e Serviços;Programas e Serviços;12.6;11.13;14.38;3875460.0;87003700.0;1096250000.0;560904000.0;16.0;0.79;1.02;12.41;11.29;24.0%;0.84;7.4%;0.79;5.2%;1.69;7.0%;1.79;6.0%;12.9%;6.3%;3.55;3.35;5.78;;109.1%;0.94;1393540000.0;0.0;535343000.0;-535343000.0;926838000.0;1080030000.0;1307610000.0;97091000.0;68534000.0;326064000.0;26316000.0;14885000.0;;;;;;
MATD3;ON NM;MATER DEI ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;6.4;6.32;11.14;3834600.0;382330000.0;2446910000.0;3370800000.0;23.06;0.28;1.47;4.35;5.77;33.4%;1.13;19.6%;0.47;5.9%;2.98;8.2%;-1.17;1.0%;9.1%;6.4%;6.36;2.68;7.96;0.77;40.2%;0.42;5172370000.0;1287620000.0;363736000.0;923886000.0;1308890000.0;1662270000.0;2158560000.0;423733000.0;106126000.0;568227000.0;109250000.0;25548000.0;;;;;;
CLSA3;ON NM;CLEARSALE ON NM;Serviços Financeiros Diversos;Serviços Financeiros Diversos;3.88;3.02;7.51;3717190.0;187926000.0;729153000.0;355738000.0;-26.0;-0.15;1.02;3.81;-8.73;34.4%;1.4;-16.0%;0.81;-5.4%;1.71;-9.3%;1.79;0.0%;-18.3%;-3.9%;-8.71;3.59;-4.26;0.06;6.4%;0.58;898217000.0;40342000.0;413757000.0;-373415000.0;589970000.0;716090000.0;521349000.0;-83552000.0;-28044000.0;119279000.0;-38230000.0;-13930000.0;;;;;;
ROMI3;ON;ROMI ON;Máquinas e Equipamentos;Máq. e Equip. Industriais;12.36;10.91;17.9;3521400.0;88734000.0;1096750000.0;1567450000.0;6.68;1.85;0.94;13.18;9.68;29.9%;0.89;9.2%;0.48;13.4%;1.42;5.0%;3.78;6.6%;6.0%;14.0%;9.25;2.23;13.83;0.67;15.4%;0.54;2282040000.0;785181000.0;314484000.0;470697000.0;1400890000.0;1169510000.0;1227250000.0;113332000.0;164086000.0;386661000.0;41051000.0;51212000.0;;;;;;
PINE4;PN;Pine PN;Intermediários Financeiros;Bancos;4.51;1.32;4.78;3508880.0;208978000.0;942491000.0;;5.21;0.87;0.96;4.71;;;;;;0.0%;;0.0%;;6.1%;;18.4%;;;;;49.0%;;21696600000.0;;;;;984479000.0;;;180878000.0;;;62215000.0;9622090000.0;6595830000.0;507241000.0;47853000.0;40361000.0;11772000.0
TRIS3;ON NM;Trisul ON NM;Construção Civil;Incorporações;4.29;2.77;6.99;3300420.0;186618000.0;800591000.0;1562540000.0;7.5;0.57;0.6;7.14;9.33;24.1%;0.83;8.9%;0.3;11.5%;0.61;3.2%;1.13;3.2%;3.6%;8.0%;17.29;2.82;18.21;0.76;4.2%;0.36;2695850000.0;1014460000.0;252507000.0;761949000.0;2028170000.0;1332140000.0;967409000.0;85817000.0;106705000.0;253179000.0;21158000.0;22968000.0;;;;;;
DASA3;ON;DIAGNOSTICOS DA AMERICA SA ON;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;7.2;6.61;14.1;2946260.0;752800000.0;5420160000.0;14383700000.0;-6.43;-1.12;0.68;10.55;5.18;28.8%;0.38;7.4%;0.2;-6.0%;3.13;3.9%;-0.49;0.0%;4.5%;-10.6%;6.38;1.27;13.75;1.43;37.4%;0.52;27093700000.0;11336900000.0;2373370000.0;8963580000.0;8143700000.0;7944720000.0;14213000000.0;1046410000.0;-843210000.0;3769010000.0;321311000.0;-180507000.0;;;;;;
PRNR3;ON NM;PRINER ON NM;Serviços Diversos;Serviços Diversos;10.7;6.35;12.29;2737150.0;46721000.0;499915000.0;679456000.0;-1844.7;-0.01;2.2;4.86;5.38;20.9%;0.49;9.2%;0.69;3.2%;4.15;12.8%;-4.38;0.0%;15.4%;-0.1%;5.35;1.49;7.31;1.2;36.3%;1.39;724061000.0;272550000.0;93009000.0;179541000.0;367810000.0;227184000.0;1009980000.0;92939000.0;-271000.0;268957000.0;20616000.0;-522000.0;;;;;;
WIZC3;ON;WIZ CO ON;Previdência e Seguros;Corretoras de Seguros;6.19;4.92;7.25;2662860.0;159907000.0;989824000.0;1092290000.0;10.18;0.61;2.16;2.87;2.16;58.8%;0.94;43.6%;0.43;17.8%;-16.99;20.0%;-1.2;7.2%;24.4%;21.2%;1.89;0.9;2.38;0.77;11.7%;0.46;2293670000.0;354129000.0;251667000.0;102462000.0;521688000.0;459254000.0;1050090000.0;458336000.0;97251000.0;287621000.0;145373000.0;44506000.0;;;;;;
DESK3;ON NM;DESKTOPSIGMA ON NM;Telecomunicações;Telecomunicações;12.85;7.33;16.73;2469010.0;115276000.0;1481290000.0;2170420000.0;16.6;0.77;1.17;10.94;4.91;63.0%;1.61;32.8%;0.5;10.9%;-21.09;10.3%;-1.16;0.2%;11.1%;7.1%;4.81;0.84;7.19;0.68;44.7%;0.31;2943280000.0;862078000.0;172956000.0;689122000.0;380584000.0;1260890000.0;921119000.0;301905000.0;89217000.0;254547000.0;78828000.0;32284000.0;;;;;;
LOGN3;ON NM;Log-In ON NM;Transporte;Transporte Hidroviário;38.35;30.5;53.0;2452190.0;107059000.0;4105710000.0;4983170000.0;10.68;3.59;4.19;9.14;12.99;22.7%;1.8;13.8%;1.18;16.8%;13.64;9.1%;-2.78;0.0%;11.1%;39.3%;9.36;1.42;15.76;1.43;24.1%;0.66;3473980000.0;1395540000.0;518082000.0;877463000.0;1019060000.0;978996000.0;2284650000.0;316132000.0;384456000.0;622889000.0;70102000.0;40544000.0;;;;;;
HBRE3;ON NM;HBR REALTY ON NM;Exploração de Imóveis;Exploração de Imóveis;4.86;3.65;6.67;2357650.0;103189000.0;501498000.0;1492300000.0;9.51;0.51;0.26;18.5;1.93;82.3%;3.29;170.1%;0.12;76.9%;119.58;6.0%;-0.33;0.0%;6.3%;2.8%;5.72;1.02;5.76;0.61;38.2%;0.04;4308740000.0;1166620000.0;175817000.0;990801000.0;267727000.0;1908600000.0;152398000.0;259200000.0;52737000.0;38371000.0;18675000.0;-7099000.0;;;;;;
MBLY3;ON NM;MOBLY ON NM;Programas e Serviços;Programas e Serviços;2.21;1.73;4.84;2353150.0;106490000.0;235343000.0;277737000.0;-2.91;-0.76;0.48;4.62;-2.84;43.0%;0.41;-14.4%;0.3;-14.1%;0.86;-10.6%;1.66;0.0%;-14.3%;-16.4%;-21.45;2.76;-3.35;0.37;-10.3%;0.74;780024000.0;180201000.0;137807000.0;42394000.0;430413000.0;491793000.0;574454000.0;-82914000.0;-80830000.0;123813000.0;-24048000.0;-24292000.0;;;;;;
SHUL4;PN;SCHULZ PN;Máquinas e Equipamentos;Motores, Compressores e Outros;6.58;4.01;8.02;2321510.0;357375000.0;2351530000.0;2330660000.0;7.6;0.87;1.87;3.51;7.86;27.0%;1.16;14.8%;0.98;15.3%;2.48;12.5%;5.43;4.4%;19.7%;24.7%;6.46;2.5;7.79;0.57;22.5%;0.84;2399300000.0;717746000.0;738617000.0;-20871000.0;1577400000.0;1254950000.0;2020350000.0;299284000.0;309501000.0;496888000.0;60579000.0;76369000.0;;;;;;
CSED3;ON NM;CRUZEIRO EDU ON NM;Diversos;Serviços Educacionais;4.29;1.88;5.3;2076720.0;364543000.0;1563890000.0;1723640000.0;20.04;0.21;1.09;3.95;4.4;46.8%;0.7;16.0%;0.33;3.5%;13.6;7.5%;-0.7;5.5%;9.1%;5.4%;2.8;1.12;4.85;0.61;10.9%;0.47;4726870000.0;874551000.0;714800000.0;159751000.0;1048360000.0;1439560000.0;2220380000.0;355361000.0;78033000.0;564822000.0;109647000.0;33218000.0;;;;;;
HBOR3;ON;Helbor ON;Construção Civil;Incorporações;2.61;1.82;4.41;1990940.0;133851000.0;349351000.0;2019140000.0;8.63;0.3;0.25;10.42;3.19;28.3%;0.31;9.6%;0.06;12.3%;0.15;1.9%;-5.1;3.5%;2.0%;2.9%;14.54;3.03;18.44;1.39;-5.0%;0.2;5747100000.0;1938020000.0;268232000.0;1669790000.0;3386260000.0;1394330000.0;1144090000.0;109483000.0;40495000.0;324618000.0;38407000.0;8531000.0;;;;;;
MEAL3;ON NM;IMC S/A ON NM;Hoteis e Restaurantes;Restaurante e Similares;1.83;1.52;2.85;1894640.0;286370000.0;524057000.0;841091000.0;4.48;0.41;0.47;3.88;-9.72;32.2%;0.23;-2.4%;0.19;5.2%;-5.75;-2.0%;-0.45;0.0%;-2.2%;10.5%;4.51;0.84;-15.6;0.45;14.4%;0.82;2757440000.0;503973000.0;186939000.0;317034000.0;479312000.0;1112260000.0;2247810000.0;-53904000.0;116858000.0;626034000.0;21228000.0;16402000.0;;;;;;
ESPA3;ON NM;ESPACOLASER ON NM;Comércio;Produtos Diversos;0.99;0.94;2.04;1846630.0;361423000.0;357809000.0;1048020000.0;-17.74;-0.06;0.41;2.43;3.17;36.9%;0.36;11.4%;0.16;-2.3%;2.69;4.9%;-0.8;0.0%;5.5%;-2.3%;5.35;1.16;9.28;1.04;14.8%;0.44;2284960000.0;912536000.0;222324000.0;690212000.0;958676000.0;877564000.0;994253000.0;112913000.0;-20170000.0;234290000.0;31681000.0;-1204000.0;;;;;;
DEXP3;ON;DEXXOS PAR ON;Químicos;Petroquímicos;12.22;6.63;12.5;1842690.0;94014000.0;1148850000.0;1025930000.0;7.2;1.7;1.66;7.34;5.62;20.5%;0.64;11.3%;0.81;10.6%;1.81;14.4%;3.42;3.2%;22.5%;23.1%;4.39;3.17;5.02;0.42;28.5%;1.27;1420510000.0;290410000.0;413336000.0;-122926000.0;929272000.0;690501000.0;1801050000.0;204309000.0;159550000.0;411454000.0;35249000.0;39904000.0;;;;;;
TFCO4;PN;TRACK FIELD PN;Tecidos, Vestuário e Calçados;Vestuário;14.45;9.39;15.03;1820760.0;159718000.0;2307920000.0;2363390000.0;20.28;0.71;5.9;2.45;16.21;58.0%;3.57;22.0%;3.71;17.6%;7.66;22.9%;10.93;1.2%;27.0%;29.1%;15.5;3.15;16.6;0.26;26.5%;1.04;621261000.0;101739000.0;46274000.0;55465000.0;441568000.0;390905000.0;647055000.0;142410000.0;113810000.0;164278000.0;34913000.0;27164000.0;;;;;;
