Ticker;Nome da Empresa;Setor de Atuação;Nota dos Usuários;Num. de Votos;Segmento de Listagem;Tag Along;Free Float;Listagem CVM;Fundação
ETER;Eternit;Produtos para Construção Civil;3.2;13;Novo Mercado;100% ON;60,38% ON;1970;1940
DOHL;Dohler;Têxtil;0;0;Tradicional;80% ON - 0% PN;14,50% ON - 39,73% PN - 21,57% Total;1973;1966
AFLT;Afluente T;Energia - Transmissão;0;0;Tradicional;80% ON;1,32% ON;2010;2008
OIBR;Oi;Telecomunicações;1.2;26;Nível 1;80% ON - 0% PN;89,99% ON - 88,45% PN - 89,95% Total;1980;1963
BGIP;Banese;Bancos;1.7;3;Tradicional;100% ON - 100% PN;5,51% ON - 12,34% PN - 8,93% Total;1977;1963
CAMB;Cambuci;Vestuário - Calçados;3.9;20;Tradicional;80% ON - 80% PN;35,24% ON;1985;1945
HBOR;Helbor;Construção;2.5;4;Novo Mercado;100% ON;49,04% ON;2007;1977
ESPA;Espaçolaser;Serviços Diversos;1.7;21;Novo Mercado;100% ON;32,42% ON;2021;2016
ENJU;Enjoei;Programas e Serviços;1.6;18;Novo Mercado;100% ON;44,91% ON;2020;2012
DMVF;D1000 Varejo Farma;Varejo - Farmacêutico;3.3;3;Novo Mercado;100% ON;27,82% ON;2020;2010
HBTS;Habitasul;Exploração de Imóveis;0;0;Tradicional;80% ON - 0% PN;63,99% PN - 41,90% Total;1982;1981
BOBR;Bombril;Produtos de Limpeza;1.7;12;Tradicional;80% ON - 0% PN;18,70% PN - 8,82% Total;1984;1948
CEDO;Cedro Têxtil;Têxtil;2;5;Nível 1;80% ON - 80% PN;22,98% ON - 36,61% PN - 28,83% Total;1969;1883
FHER;Heringer;Fertilizantes;1.9;11;Novo Mercado;100% ON;10,02% ON;2007;1968
LPSB;Lopes Brasil;Exploração de Imóveis;3.5;2;Novo Mercado;100% ON;28,93% ON;2006;2006
RNEW;Renova;Energia - Geração;2;4;Nível 2;100% ON - 100% PN - 100% UNIT;15,71% ON - 30,08% PN - 22,89% Total;2008;2006
AGXY;AgroGalaxy;Agronegócio;2.6;8;Novo Mercado;100% ON;44,17% ON;2021;2014
GPIV;GP Investments;Holding;1;1;Tradicional;100% ON - 100% PN;21,39% ON;2006;2003
TECN;Technos;Artigos de Luxo;3.2;13;Novo Mercado;100% ON;49,49% ON;2011;2007
MSPA;Melhoramentos SP;Papel e Celulose;0;0;Tradicional;80% ON - 0% PN;5,86% ON - 55,02% PN - 11,79% Total;1977;1890
NINJ;GetNinjas;Programas e Serviços;1;8;Novo Mercado;100% ON;10,15% ON;2021;2011
MGEL;Mangels;Siderurgia;1.7;6;Tradicional;80% ON - 0% PN;0,07% ON - 29,76% PN - 19,15% Total;1971;1928
NGRD;Neogrid;Software;2.4;19;Novo Mercado;100% ON;43,91% ON;2020;2008
TKNO;Tekno;Siderurgia;2;1;Tradicional;80% ON - 100% PN;3,46% ON - 22,90% PN - 12,43% Total;1977;1939
LVTC;WDC Livetech da Bahia;Produtos Diversos;2.3;3;Novo Mercado;100% ON;15,60% ON;2021;2003
MBLY;Mobly;Móveis;1.3;3;Novo Mercado;100% ON;28,20% ON;2021;2018
EALT;Electro Aço Altona;Máquinas e Equipamentos;2.8;6;Tradicional;80% ON - 0% PN;8,34% ON - 45,69% PN - 29,51% Total;1950;1924
TRAD;TC Traders Club;Mercado Financeiro;1;23;Novo Mercado;100% ON;32,60% ON;2021;2016
BAHI;Bahema;Educação;1;5;Bovespa Mais;80% ON;23,60% ON;1974;1960
JOPA;Josapar;Alimentos - Variados;1.5;2;Tradicional;80% ON - 0% PN;22,73% ON - 19,54% PN - 22,69% Total;1988;1973
TCSA;Tecnisa;Construção;2.3;3;Novo Mercado;100% ON;47,25% ON;2007;2006
G2DI;G2D Investments;Holding;2;4;Tradicional;100% ON;19,34% ON;2021;2020
MERC;Mercantil Financeira;Financeira;0;0;Tradicional;80% ON - 0% PN;4,95% ON - 25,16% PN - 13,85% Total;1977;1972
AZEV;Azevedo e Travassos;Construção;1.3;9;Tradicional;80% ON - 0% PN;45,23% ON - 67,13% PN - 59,64% Total;1984;1922
PDTC;Padtec;Holding;2.2;4;Novo Mercado;80% ON;22,79% ON;1999;1998
UCAS;Unicasa;Móveis;3.2;4;Novo Mercado;100% ON;27,04% ON;2012;1985
RDNI;RNI;Construção;1;2;Novo Mercado;100% ON;12,59% ON;2007;1991
BMKS;Monark;Bicicletas;1.3;6;Tradicional;80% ON;12,00% ON;1971;1948
TPIS;Triunfo;Exploração de Rodovias;1.3;3;Novo Mercado;100% ON;25,95% ON;2002;1999
SEQL;Sequoia;Logística e Rodoviário;1.7;12;Novo Mercado;100% ON;63,42% ON;2020;1996
SHOW;Time For Fun;Entretenimento;2.1;11;Novo Mercado;100% ON;39,37% ON;2011;1998
RPMG;Refit;Petróleo e Gás - Refino;1;3;Tradicional;80% ON - 0% PN;17,74% ON;1970;1946
MNPR;Minupar;Alimentos - Carnes e Derivados;1;2;Tradicional;80% ON;47,70% ON;1990;1984
AHEB;São Paulo Turismo;Turismo;1;2;Tradicional;80% ON - 0% PN;2,02% ON - 79,05% PN - 3,25% Total;1977;1968
AMAR;Lojas Marisa;Vestuário - Geral;1.4;10;Novo Mercado;100% ON;46,14% ON;2010;1959
CTNM;Coteminas;Têxtil;1;1;Tradicional;80% ON - 80% PN;2,16% ON - 39,44% PN - 22,51% Total;1971;1967
RCSL;Recrusul;Máquinas e Equipamentos;1;2;Tradicional;80% ON - 80% PN;14,74% ON - 84,73% PN - 61,28% Total;1985;1954
WEST;Westwing;Móveis;1.5;12;Novo Mercado;100% ON;29,70% ON;2021;2012
INEP;Inepar;Máquinas e Equipamentos;2;2;Tradicional;80% ON - 0% PN;40,38% ON - 87,16% PN - 53,71% Total;1980;1968
EPAR;Battistella;Holding;5;1;Tradicional;80% ON - 0% PN;30,51% ON;1996;1974
PLAS;Plascar;Automotivo;0;0;Tradicional;80% ON;11,24% ON;1989;1983
CTKA;Karsten;Têxtil;0;0;Tradicional;80% ON - 0% PN;2,34% ON - 23,26% PN - 13,56% Total;1971;1933
SOND;Sondotécnica;Consultoria;2;4;Tradicional;80% ON - 0% PN;4,74% ON - 18,70% PN - 13,84% Total;1980;1953
MNDL;Mundial;Utensílios Domésticos;1.3;3;Tradicional;80% ON;17,46% ON;1979;1896
BALM;Baumer;Produtos Diversos;2.5;2;Tradicional;80% ON - 0% PN;10,54% ON - 60,59% PN - 35,56% Total;1970;1952
HOOT;Hotéis Othon;Hotelaria;1.7;3;Tradicional;80% ON - 0% PN;55,95% ON - 41,04% PN - 49,54% Total;1980;1943
BMIN;Mercantil Investimentos;Bancos;1;1;Tradicional;80% ON - 0% PN;2,03% ON - 45,74% PN - 8,46% Total;1977;1973
VIVR;Viver;Construção;1;2;Novo Mercado;100% ON;51,24% ON;2007;1992
NUTR;Nutriplant;Fertilizantes;1.3;3;Bovespa Mais;100% ON;9,54% ON;2008;1979
SNSY;Sansuy;Produtos Diversos;1;3;Tradicional;80% ON - 0% PN;19,44% ON - 55,81% PN - 43,28% Total;1986;1979
LUPA;Lupatech;Máquinas e Equipamentos;1.2;5;Novo Mercado;100% ON;85,61% ON;2006;1980
DOTZ;Dotz;Programas e Serviços;1;6;Novo Mercado;100% ON;13,41% ON;2021;2013
CALI;Adolpho Lindenberg;Construção;1;5;Tradicional;80% ON - 0% PN;6,09% ON;1977;1962
ATMP;ATMA;Holding;1;3;Tradicional;80% ON - 0% PN;27,90% ON;2001;2000
RSID;Rossi;Construção;1;4;Novo Mercado;100% ON;33,90% ON;1997;1985
NORD;Nordon;Máquinas e Equipamentos;1;1;Tradicional;100% ON;1,07% ON;1956;1966
CTSA;Santanense;Têxtil;0;0;Tradicional;80% ON - 80% PN;9,12% ON - 61,27% PN - 43,44% Total;1984;1891
DTCY;DTCOM;Educação;1;1;Tradicional;80% ON;10,65% ON - 10,81% PN - 10,66% Total;2000;1999
ATOM;Atom;Mercado Financeiro;3.5;2;Tradicional;80% ON;23,77% ON;1996;1994
BAUH;Excelsior;Alimentos - Carnes e Derivados;1;1;Tradicional;80% ON - 0% PN;0,08% ON - 4,10% PN - 1,91% Total;1977;1932
SGPS;Springs Global;Têxtil;1;1;Novo Mercado;100% ON;37,36% ON;2007;2005
JFEN;João Fortes;Construção;1;1;Tradicional;100% ON;9,59% ON;1977;1950
LUXM;Trevisa;Logística e Hidroviário;1;2;Tradicional;80% ON - 0% PN;11,18% ON - 45,56% PN - 30,35% Total;1980;1930
ESTR;Estrela;Brinquedos e Jogos;1;10;Tradicional;80% ON - 0% PN;5,28% ON - 100,00% PN - 68,42% Total;1968;1937
FIEI;CR2;Construção;1;1;Tradicional;80% ON;25,77% ON;2007;2006
RSUL;Riosulense;Automotivo;3.5;4;Tradicional;80% ON - 0% PN;21,22% PN - 8,72% Total;1988;1946
PDGR;PDG Realty;Construção;1;3;Novo Mercado;100% ON;90,72% ON;2007;1998
TEKA;Teka;Têxtil;3;2;Tradicional;80% ON - 0% PN;11,50% ON - 42,66% PN - 32,26% Total;1969;1935
GSHP;General Shopping;Shoppings;1;1;Tradicional;100% ON;27,72% ON;2007;2007
HAGA;Haga;Produtos para Construção Civil;2;2;Tradicional;80% ON - 0% PN;24,14% ON - 72,29% PN - 56,24% Total;1988;1937
TXRX;Renauxview;Têxtil;5;1;Tradicional;80% ON;11,21% ON - 16,76% PN - 14,86% Total;1969;1925
HETA;Hercules;Utensílios Domésticos;0;0;Tradicional;80% ON - 0% PN;1,64% ON - 37,06% PN - 25,17% Total;1968;1936
MWET;Wetzel;Automotivo;1;1;Tradicional;80% ON - 0% PN;2,63% ON - 32,82% PN - 22,75% Total;1984;1932
BDLL;Bardella;Siderurgia;1;1;Tradicional;80% ON - 0% PN;15,96% ON - 56,09% PN - 40,86% Total;1969;1911
OSXB;OSX Brasil;Petróleo e Gás - E&P;1;3;Novo Mercado;100% ON;40,92% ON;2008;2007
NEXP;Nexpe;Exploração de Imóveis;1;2;Novo Mercado;100% ON;39,11% ON;2007;2007
MAPT;Cemepe Investimentos;Holding;0;0;Tradicional;80% ON - 0% PN;2,74% ON - 5,00% PN - 3,88% Total;1991;1991
FRTA;Pomi Frutas;Alimentos - Variados;1.7;6;Novo Mercado;100% ON;54,23% ON;2004;1962
PSVM;Porto Sudeste;Logística e Portuário;0;0;Tradicional;80% ON;;2014;2013
PPLA;PPLA;Holding;0;0;Tradicional;100% PN;100,00% PN - 100,00% Total;2012;2010
PMAM;Paranapanema;Siderurgia;7;1;Novo Mercado;100% ON;40,11% ON;0;1961
