;Ticker;Nome da Empresa;Setor;Subsetor;Nota dos Usuários;Num. de Votos;Segmento de Listagem;Tag Along;Free Float;Listagem CVM;Fundação;Vol Histórica;Tickers Opções;LIQUIDEZ MEDIA DIARIA;P/L;lpa_pos_years;lpa_last_negative_year;lpa_trend;P/ATIVOS;P/VP;vpa_trend;MARGEM BRUTA;margembruta_pos_years;margembruta_last_negative_year;margembruta_trend;MARGEM EBIT;MARG. LIQUIDA;margemliquida_pos_years;margemliquida_last_negative_year;margemliquida_trend;EV/EBIT;LIQ. CORRENTE;liquidezcorrente_trend;DIVIDA LIQUIDA / EBIT;dividaliquida_ebit_trend;DIV. LIQ. / PATRI.;dividaliquida_patrimonioliquido_trend;PASSIVOS / ATIVOS;passivo_ativo_trend;Div Br/ Patrim;Dív. Líquida;Patrim. Líq
INTB3;INTB3;Intelbras;Computadores e Equipamentos;Computadores e Equipamentos;4.1;48.0;Novo Mercado;100% ON;27,38% ON;2021.0;1974.0;39.598571552502;24.0;24855057.18;12.8;1.0;;0.0930655080293652;1.41;2.7;0.0758760145786863;31.46;1.0;;-0.0296878031429866;11.78;12.53;1.0;;0.0048669911327412;13.07;2.68;0.0459102662976882;-0.54;-0.035837015218466;-0.11;-0.1754068716094059;0.47;-0.0252976190476224;0.38;-265756000.0;2468360000.0
RAPT4;RAPT4;Randoncorp;Material de Transporte;Material Rodoviário;4.1;40.0;Nível 1;80% ON - 80% PN;9,44% ON - 83,08% PN - 57,03% Total;1993.0;1992.0;32.221980277612;22.0;22885012.88;8.55;1.0;;-0.0118800027934172;0.28;1.21;0.0702659673665726;25.06;1.0;;0.0052089150632068;11.93;3.72;0.875;2016.0;0.0098511459399848;4.78;2.1;-0.0220318237454121;2.14;-0.0353174603174589;0.97;0.0442592304097233;0.68;0.0144285272596071;1.79;2852120000.0;2944690000.0
LEVE3;LEVE3;Mahle Metal Leve;Automóveis e Motocicletas;Automóveis e Motocicletas;4.5;86.0;Novo Mercado;100% ON;;1977.0;1950.0;39.40372661266;21.0;20266243.38;6.46;1.0;;0.0545200465163759;1.47;2.96;-0.0468171836031138;28.88;1.0;;0.0136573751598882;18.76;16.16;1.0;;0.0499171491315637;5.55;1.91;-0.0062542340421279;-0.02;-1.285919165579945;-0.01;0.7467032967033391;0.5;-0.0048780487804864;0.31;-19498000.0;1568530000.0
ALUP11;ALUP11;Alupar;Energia Elétrica;Energia Elétrica;4.1;53.0;Nível 2;100% ON - 100% PN - 100% UNIT;17,53% ON - 74,33% PN - 35,76% Total;2008.0;2006.0;18.354878563016;13.0;19016835.74;12.03;1.0;;-0.0180486677677367;0.32;1.19;-0.0209178037121863;75.83;1.0;;-0.0078512618149692;71.87;23.53;1.0;;0.0159885984186607;7.85;1.89;0.0137310175502416;3.91;-0.0008660119728258;1.18;-0.0646792579347401;0.62;0.0068575553416743;1.54;8903920000.0;7541460000.0
TTEN3;TTEN3;3tentos;Agropecuária;Agricultura;4.3;64.0;Novo Mercado;100% ON;22,89% ON;2021.0;2011.0;34.75901423121;11.0;15708097.12;7.92;1.0;;0.0956259586396452;0.75;1.56;0.093391839183923;14.89;1.0;;-0.0051227008830553;6.79;7.71;1.0;;0.0353672755538303;9.2;1.52;0.0525867575047906;0.21;1.783068783068725;0.04;1.20788530465959;0.52;-0.089406461307265;0.4;116334000.0;3172940000.0
TUPY3;TUPY3;Tupy;Material de Transporte;Material Rodoviário;4.0;33.0;Novo Mercado;100% ON;36,86% ON;1966.0;1938.0;26.667289775457;20.0;12588841.65;9.06;0.8571428571428571;2020.0;0.0351004453475376;0.37;1.13;0.0006672888065208;17.23;1.0;;-0.0143823322600934;6.88;3.59;0.8823529411764706;2020.0;-0.3415767868641504;7.61;2.1;-0.001645983327018;2.88;0.0523403654172138;0.69;0.0566431322207909;0.67;0.0021998742928976;1.04;2247060000.0;3268350000.0
MILS3;MILS3;Mills;Diversos;Aluguel de carros;4.2;49.0;Novo Mercado;100% ON;36,97% ON;2010.0;1980.0;43.356505606173;20.0;11725282.44;12.61;0.5714285714285714;2020.0;0.0463493312793013;1.12;2.22;-0.0611176217265483;65.4;1.0;;-0.0005213555243633;32.41;18.29;0.625;2020.0;0.4883141762451977;8.22;2.49;0.028759723136311;1.1;0.11160115052731;0.34;-0.9322709163343544;0.49;-0.0134054954204848;0.76;475344000.0;1390720000.0
KEPL3;KEPL3;Kepler;Máquinas e Equipamentos;Máq. e Equip. Industriais;4.0;48.0;Novo Mercado;100% ON;57,43% ON;1980.0;1936.0;35.108542360824;21.0;10628138.71;6.48;0.8571428571428571;2017.0;0.0605520497660567;1.24;2.51;-0.0008082667266047;32.03;1.0;;0.0256176215709367;22.32;17.47;0.7647058823529411;2017.0;0.0625622768413236;4.74;1.68;-0.0533564814814773;-0.33;0.0726590106007376;-0.16;0.1232987686325179;0.51;-0.0042932628797887;0.31;-110497000.0;681618000.0
RANI3;RANI3;Irani;Madeira e Papel;Papel e Celulose;4.3;75.0;Novo Mercado;100% ON;42,35% ON;1977.0;1941.0;31.298330736321;30.0;8088094.29;5.32;0.7857142857142857;2019.0;0.0833461431535222;0.71;1.9;0.7298812563226318;46.85;1.0;;0.0241421779890724;40.73;28.58;0.8125;2019.0;0.0722650284603474;5.32;3.91;0.0617660785961109;1.59;-0.0243646494579453;0.81;0.0019132570615991;0.63;0.0023773827372028;1.23;1049210000.0;1290940000.0
AGRO3;AGRO3;BrasilAgro;Agropecuária;Agricultura;4.4;75.0;Novo Mercado;100% ON;45,21% ON;2006.0;2005.0;29.632653024339;8.0;7518771.68;9.62;1.0;;0.051327905512843;0.7;1.12;0.0599313459684764;30.65;0.9375;2009.0;0.0998316383961461;20.17;20.86;0.8125;2013.0;0.1179854423412158;11.8;2.14;-0.0182654499591978;1.85;-0.0202843372119562;0.21;0.1232664756446861;0.37;0.0367601246105906;0.53;827834000.0;1976040000.0
JALL3;JALL3;Jalles Machado;Alimentos Processados;Açucar e Alcool;4.1;33.0;Novo Mercado;100% ON;33,91% ON;2021.0;1980.0;31.565124547543;10.0;5020733.12;3.62;1.0;;0.177581833786421;0.35;1.14;0.1120168288193361;30.06;0.875;2022.0;-0.0194462633276075;49.3;33.06;1.0;;0.1226635645957241;5.36;2.96;0.0265399333415696;2.93;0.243985239852378;1.38;-0.1200000000000054;0.7;-0.0184307530279083;1.94;2916530000.0;2072120000.0
PNVL3;PNVL3;Grupo Panvel;Comércio e Distribuição;Medicamentos e Outros Produtos;4.3;56.0;Novo Mercado;100% ON;47,73% ON;1977.0;1920.0;28.914739057271;10.0;4907010.53;20.35;1.0;;-0.2313611485261459;0.61;1.57;-0.1222321752634689;30.91;1.0;;0.0264301574120924;3.62;2.04;1.0;;-0.0057533112582789;16.6;1.71;-0.0035338785046729;5.17;0.0795781399808222;0.71;0.0763750356226977;0.61;0.0075657894736833;0.94;809634000.0;1139060000.0
FRAS3;FRAS3;Frasle Mobility;Material de Transporte;Material Rodoviário;4.3;55.0;Nível 1;80% ON;12,45% ON;1977.0;1954.0;26.458086594802;0.0;4855831.26;13.48;1.0;;0.0602364374637829;1.11;2.27;0.0389717193075689;34.03;1.0;;0.0097304631967087;15.05;9.57;1.0;;0.0106872020800223;8.3;2.44;0.0001598721023179;-0.27;-0.1062959076600179;-0.07;0.0112233445566778;0.51;-2.7654867256532437e-05;0.45;-136857000.0;1926600000.0
LAVV3;LAVV3;Lavvi;Construção Civil;Incorporações;4.3;29.0;Novo Mercado;100% ON;21,94% ON;2020.0;2016.0;33.534676902029;2.0;4575681.18;9.12;1.0;;0.1009549795361433;0.73;1.27;0.0308587633857564;32.98;1.0;;0.0023070638343474;20.09;22.11;0.875;2017.0;0.151414374445407;8.1;3.44;0.0752012072434553;-1.94;0.1147993151987714;-0.25;-0.2479784366576791;0.39;-0.1999115435647808;0.15;-309069000.0;1261230000.0
CSUD3;CSUD3;CSU;Serviços Diversos;Serviços Diversos;4.2;68.0;Novo Mercado;100% ON;35,74% ON;2006.0;1997.0;36.681386027098;0.0;1302106.47;9.19;1.0;;0.0756145224870423;1.3;1.92;0.0596503901452194;39.2;1.0;;0.0262145265524023;21.27;16.2;1.0;;0.0545396219994582;6.95;1.29;0.01461104026234;-0.05;24.314851485073063;-0.01;4.747619047612036;0.32;-0.0438622438199847;0.18;-6018000.0;412720000.0
SOJA3;SOJA3;Boa Safra;Agropecuária;Agricultura;4.0;39.0;Novo Mercado;100% ON;30,16% ON;2021.0;2009.0;37.46641388939;0.0;4000164.79;9.5;1.0;;0.1067116108327861;0.73;1.98;0.0946219670972632;15.15;1.0;;0.0726271863624332;11.93;9.98;0.875;2017.0;0.1139799888826997;7.54;2.27;0.0950060289389145;-0.4;0.1465677179963305;-0.1;0.9140407405385544;0.5;-0.2828241123039118;0.76;-92856000.0;924072000.0
